symbol,name,exchange,currency
NGC.UN,Northern Genesis Acquisition Corp. III,New York Stock Exchange,
TGR.UN,Kimbell Tiger Acquisition Corporation,New York Stock Exchange,
TRTL.UN,TortoiseEcofin Acquisition Corp. III,New York Stock Exchange,
TWND.UN,Tailwind Acquisition Corp.,New York Stock Exchange,
VYGG.UN,Vy Global Growth,New York Stock Exchange,
PCPC.UN,Periphas Capital Partnering Corporation,New York Stock Exchange,
BLB.UN.TO,Bloom Select Income Fund,Toronto Stock Exchange,
FACA.UN,Figure Acquisition Corp. I,New York Stock Exchange,
BITE.UN,Bite Acquisition Corp.,New York Stock Exchange,
ASZ.UN,Austerlitz Acquisition Corporation II,New York Stock Exchange,
NIF.UN.TO,Noranda Income Fund,Toronto Stock Exchange,
CIQ.UN.TO,Canadian High Income Equity Fund,Toronto Stock Exchange,
WQGA.UN,World Quantum Growth Acquisition Corp.,New York Stock Exchange,
CUF.UN.TO,Cominar Real Estate Investment Trust,Toronto Stock Exchange,
SPGS.UN,"Simon Property Group Acquisition Holdings, Inc.",New York Stock Exchange,
NSH.UN,"NavSight Holdings, Inc.",New York Stock Exchange,
PV.UN,Primavera Capital Acquisition Corporation,New York Stock Exchange,
CCV.UN,Churchill Capital Corp V,New York Stock Exchange,
ACII.UN,Atlas Crest Investment Corp. II,New York Stock Exchange,
FFI.UN.TO,Flaherty & Crumrine Investment Grade Preferred Income Fund,Toronto Stock Exchange,
FST.UN,FAST Acquisition Corp.,New York Stock Exchange,
ASAQ.UN,Atlantic Avenue Acquisition Corp,New York Stock Exchange,
HTPA.UN,Highland Transcend Partners I Corp.,New York Stock Exchange,
FAII.UN,Fortress Value Acquisition Corp. II,New York Stock Exchange,
KCA.UN,Kensington Capital Acquisition Corp. IV,New York Stock Exchange,
MTAL.UN,Metals Acquisition Corp,New York Stock Exchange,
PIPP.UN,Pine Island Acquisition Corp.,New York Stock Exchange,
WPCA.UN,Warburg Pincus Capital Corporation I-A,New York Stock Exchange,
DNZ.UN,D and Z Media Acquisition Corp.,New York Stock Exchange,
HUGS.UN,USHG Acquisition Corp.,New York Stock Exchange,
AAQC.UN,Accelerate Acquisition Corp.,New York Stock Exchange,
TXT.UN.TO,Top 10 Split Trust,Toronto Stock Exchange,
RBAC.UN,RedBall Acquisition Corp.,New York Stock Exchange,
IRRX.UN,Integrated Rail and Resources Acquisition Corp.,New York Stock Exchange,
DWIN.UN,Delwinds Insurance Acquisition Corp.,New York Stock Exchange,
CLAA.UN,Colonnade Acquisition Corp. II,New York Stock Exchange,
BUA.UN.TO,Bloom U.S. Income & Growth Fund,Toronto Stock Exchange,
KAHC.UN,KKR Acquisition Holdings I Corp.,New York Stock Exchange,
PGSS.UN,Pegasus Digital Mobility Acquisition Corp.,New York Stock Exchange,
IVAN.UN,Ivanhoe Capital Acquisition Corp.,New York Stock Exchange,
GDG.UN.TO,Global Dividend Growers Income Fund,Toronto Stock Exchange,
APN.UN,Apeiron Capital Investment Corp.,New York Stock Exchange,
PRPC.UN,CC Neuberger Principal Holdings III,New York Stock Exchange,
CTAC.UN,Cerberus Telecom Acquisition Corp.,New York Stock Exchange,
HBL.UN.TO,Brand Leaders Income Fund,Toronto Stock Exchange,
CPTK.UN,Crown Proptech Acquisitions,New York Stock Exchange,
HZON.UN,Horizon Acquisition Corporation II,New York Stock Exchange,
CHAA.UN,Catcha Investment Corp,New York Stock Exchange,
TINV.UN,Tiga Acquisition Corp.,New York Stock Exchange,
CCVI.UN,Churchill Capital Corp VI,New York Stock Exchange,
WIR.UN.TO,WPT Industrial Real Estate Investment Trust,Toronto Stock Exchange,
LOCC.UN,Live Oak Crestview Climate Acquisition Corp.,New York Stock Exchange,
PICC.UN,Pivotal Investment Corporation III,New York Stock Exchange,
PNTM.UN,Pontem Corporation,New York Stock Exchange,
NFYS.UN,Enphys Acquisition Corp.,New York Stock Exchange,
DMYI.UN,"dMY Technology Group, Inc. III",New York Stock Exchange,
BSO.UN.TO,Brookfield Select Opportunities Income Fund,Toronto Stock Exchange,
RCO.UN.TO,Middlefield Can-Global REIT Income Fund,Toronto Stock Exchange,
IBER.UN,Ibere Pharmaceuticals,New York Stock Exchange,
FRX.UN,Forest Road Acquisition Corp.,New York Stock Exchange,
NETC.UN,Nabors Energy Transition Corp.,New York Stock Exchange,
BOAS.UN,BOA Acquisition Corp.,New York Stock Exchange,
TPGY.UN,TPG Pace Beneficial Finance Corp.,New York Stock Exchange,
RONI.UN,Rice Acquisition Corp. II,New York Stock Exchange,
CSTA.UN,Constellation Acquisition Corp I,New York Stock Exchange,
